epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.329,1.4901,3.54439,1.22991,0.00495,0.85572,0.5078,0.25979,1.57441,3.67619,1.27138,0.00032971,0.00032971,0.00032971
2,304.354,1.36351,2.41405,1.16799,0.78135,0.61192,0.73102,0.50782,1.14231,2.41513,1.07206,0.000657573,0.000657573,0.000657573
3,451.445,1.29425,2.02994,1.12303,0.7738,0.73367,0.79905,0.50388,1.34808,1.83179,1.12727,0.000979937,0.000979937,0.000979937
4,599.374,1.20148,1.76462,1.09455,0.80021,0.72322,0.79247,0.47651,1.33006,1.83139,1.13283,0.00097525,0.00097525,0.00097525
5,748.107,1.14773,1.58676,1.06391,0.8573,0.77705,0.84099,0.5936,0.98814,1.41551,1.02497,0.000967,0.000967,0.000967
6,893.714,1.08899,1.42264,1.05231,0.85541,0.79433,0.8261,0.58981,1.03126,1.29317,1.03444,0.00095875,0.00095875,0.00095875
7,1039.14,1.04811,1.29683,1.02893,0.92709,0.77226,0.85875,0.63389,1.00164,1.28588,1.04626,0.0009505,0.0009505,0.0009505
8,1184.04,1.09112,1.24595,1.05429,0.91753,0.81938,0.87548,0.64553,0.97366,1.07502,1.02972,0.00094225,0.00094225,0.00094225
9,1328.23,1.01432,1.1724,1.02217,0.88335,0.82419,0.88368,0.6177,1.02548,1.01148,1.03338,0.000934,0.000934,0.000934
10,1472.92,0.9961,1.10059,1.03043,0.86903,0.80602,0.8747,0.64229,0.9497,1.05143,1.00364,0.00092575,0.00092575,0.00092575
11,1617.59,0.97282,1.06447,1.0035,0.8762,0.82128,0.86646,0.63954,0.88187,0.9978,1.01183,0.0009175,0.0009175,0.0009175
12,1764.04,1.01108,1.0421,1.01973,0.90026,0.81813,0.88362,0.6504,0.94512,0.94018,1.01969,0.00090925,0.00090925,0.00090925
13,1908.4,0.97095,0.98611,1.00802,0.87877,0.84338,0.89161,0.65295,0.89495,0.87503,1.01628,0.000901,0.000901,0.000901
14,2053.3,0.92653,0.95675,0.99843,0.90937,0.79912,0.88453,0.65927,0.86866,1.04461,0.99974,0.00089275,0.00089275,0.00089275
15,2197.56,0.9086,0.93938,0.99755,0.8887,0.86192,0.88962,0.68662,0.85867,0.97806,0.99058,0.0008845,0.0008845,0.0008845
16,2341.9,0.94469,0.90672,1.00608,0.88591,0.87902,0.90652,0.66866,0.91936,0.86437,1.00768,0.00087625,0.00087625,0.00087625
17,2487.45,0.92581,0.89839,0.98929,0.91324,0.84728,0.9077,0.65614,1.00586,0.81857,1.02384,0.000868,0.000868,0.000868
18,2631.96,0.88529,0.85452,0.97167,0.93437,0.82829,0.89766,0.65364,0.98016,0.80494,1.02097,0.00085975,0.00085975,0.00085975
19,2777.26,0.93243,0.85865,0.99877,0.93614,0.81994,0.89135,0.67152,0.86384,0.87037,0.9983,0.0008515,0.0008515,0.0008515
20,2922.54,0.91616,0.85223,0.99933,0.90584,0.86107,0.90241,0.67814,0.85292,0.75679,0.98742,0.00084325,0.00084325,0.00084325
21,3068.03,0.90109,0.81781,0.99302,0.89901,0.84313,0.90074,0.67604,0.84676,0.74704,0.99135,0.000835,0.000835,0.000835
22,3213.14,0.87906,0.78698,0.97381,0.91131,0.88071,0.91161,0.699,0.82475,0.77941,0.98024,0.00082675,0.00082675,0.00082675
23,3358.09,0.87653,0.80328,0.9895,0.9054,0.85095,0.90807,0.69619,0.83498,0.71862,0.98656,0.0008185,0.0008185,0.0008185
24,3503.13,0.85067,0.76182,0.96508,0.90528,0.8702,0.90786,0.69204,0.81136,0.72665,0.98134,0.00081025,0.00081025,0.00081025
25,3647.13,0.87697,0.79964,0.98582,0.90238,0.89119,0.90219,0.69391,0.83346,0.78636,0.97959,0.000802,0.000802,0.000802
26,3790.46,0.84096,0.76408,0.96667,0.89961,0.86252,0.91279,0.69731,0.79468,0.70856,0.96552,0.00079375,0.00079375,0.00079375
27,3934.53,0.82816,0.7585,0.97668,0.88048,0.87295,0.90244,0.68807,0.79033,0.70317,0.96582,0.0007855,0.0007855,0.0007855
28,4079.34,0.83607,0.74303,0.96917,0.87648,0.8651,0.89688,0.68038,0.84754,0.77565,1.003,0.00077725,0.00077725,0.00077725
29,4224.75,0.82744,0.71136,0.94955,0.91972,0.85587,0.90172,0.66756,0.94081,0.72004,1.00366,0.000769,0.000769,0.000769
30,4370.22,0.84436,0.74065,0.9677,0.93797,0.85958,0.91358,0.68505,0.84326,0.72565,0.99839,0.00076075,0.00076075,0.00076075
31,4516.3,0.81964,0.71875,0.96317,0.94446,0.86284,0.92368,0.70844,0.79836,0.65014,0.96653,0.0007525,0.0007525,0.0007525
32,4660.75,0.81459,0.71394,0.96342,0.87643,0.86254,0.91682,0.7092,0.76834,0.661,0.97647,0.00074425,0.00074425,0.00074425
33,4804.17,0.79871,0.70286,0.95631,0.89902,0.87688,0.90084,0.70169,0.79146,0.66598,0.97778,0.000736,0.000736,0.000736
34,4947.6,0.81096,0.72126,0.95319,0.9202,0.85036,0.91089,0.7042,0.79821,0.65898,0.97596,0.00072775,0.00072775,0.00072775
35,5090.81,0.78337,0.65599,0.95294,0.89615,0.84906,0.89412,0.67065,0.85318,0.72785,1.00492,0.0007195,0.0007195,0.0007195
36,5233.99,0.80851,0.68731,0.95608,0.88213,0.90162,0.91587,0.69831,0.81262,0.66556,1.00064,0.00071125,0.00071125,0.00071125
37,5378.13,0.7941,0.64894,0.97286,0.88643,0.88087,0.91116,0.68306,0.86877,0.6609,0.99054,0.000703,0.000703,0.000703
38,5521.26,0.80034,0.67655,0.95045,0.94807,0.84098,0.91141,0.69128,0.82507,0.68034,0.98174,0.00069475,0.00069475,0.00069475
39,5664.38,0.78565,0.6464,0.94959,0.88519,0.88262,0.90626,0.70767,0.75861,0.67447,0.9689,0.0006865,0.0006865,0.0006865
40,5807.97,0.75892,0.64852,0.93592,0.9038,0.88086,0.9092,0.70458,0.81518,0.62475,0.98259,0.00067825,0.00067825,0.00067825
41,5951.22,0.79821,0.6664,0.94645,0.90185,0.90309,0.91926,0.71876,0.76626,0.59886,0.98077,0.00067,0.00067,0.00067
42,6094.53,0.78715,0.65209,0.95721,0.92552,0.88051,0.92005,0.72362,0.77043,0.58451,0.97105,0.00066175,0.00066175,0.00066175
43,6237.86,0.75659,0.61962,0.94005,0.92161,0.87235,0.91787,0.72804,0.75525,0.61898,0.96817,0.0006535,0.0006535,0.0006535
44,6380.97,0.76332,0.63442,0.93941,0.92991,0.87353,0.91382,0.70653,0.78612,0.59201,0.9759,0.00064525,0.00064525,0.00064525
45,6524.18,0.75784,0.63248,0.94785,0.9159,0.89473,0.92365,0.70413,0.85436,0.61735,0.98377,0.000637,0.000637,0.000637
46,6667.1,0.73375,0.61709,0.93555,0.913,0.87774,0.91141,0.72027,0.77317,0.62556,0.96922,0.00062875,0.00062875,0.00062875
47,6810.23,0.72755,0.63267,0.93411,0.91048,0.87616,0.91715,0.71809,0.7233,0.59906,0.95654,0.0006205,0.0006205,0.0006205
48,6953.87,0.75319,0.62261,0.93804,0.91228,0.87622,0.9171,0.72592,0.7649,0.58512,0.96132,0.00061225,0.00061225,0.00061225
49,7097.24,0.71545,0.5887,0.93166,0.93216,0.89225,0.92037,0.72119,0.76396,0.5875,0.97804,0.000604,0.000604,0.000604
50,7240.18,0.7343,0.62349,0.93316,0.88725,0.87683,0.91747,0.72601,0.75549,0.61416,0.96853,0.00059575,0.00059575,0.00059575
51,7382.96,0.73083,0.61055,0.92963,0.88509,0.90965,0.91749,0.70583,0.79749,0.62851,0.9812,0.0005875,0.0005875,0.0005875
52,7525.45,0.73756,0.58839,0.93255,0.94613,0.87414,0.91652,0.71265,0.75781,0.5776,0.98964,0.00057925,0.00057925,0.00057925
53,7668.13,0.73476,0.56996,0.94225,0.90525,0.91249,0.92088,0.7321,0.73891,0.58024,0.95805,0.000571,0.000571,0.000571
54,7810.66,0.71779,0.60525,0.93144,0.8964,0.90686,0.91012,0.72096,0.71897,0.5834,0.9635,0.00056275,0.00056275,0.00056275
55,7952.81,0.68525,0.56225,0.91542,0.93933,0.88124,0.91527,0.71885,0.80104,0.5934,1.00033,0.0005545,0.0005545,0.0005545
56,8095.84,0.71946,0.58329,0.93542,0.92394,0.8901,0.91712,0.72526,0.77887,0.56406,0.97451,0.00054625,0.00054625,0.00054625
57,8238.24,0.71847,0.59014,0.93223,0.90987,0.89816,0.9156,0.69988,0.8742,0.59282,1.00019,0.000538,0.000538,0.000538
58,8380.3,0.7162,0.58187,0.92239,0.92294,0.87032,0.91373,0.68994,0.81529,0.62603,1.00311,0.00052975,0.00052975,0.00052975
59,8522.91,0.70346,0.56877,0.92988,0.92449,0.87064,0.92109,0.72226,0.76851,0.60411,0.98178,0.0005215,0.0005215,0.0005215
60,8672.76,0.68572,0.56137,0.91929,0.92254,0.91052,0.9187,0.73807,0.76414,0.59687,0.98384,0.00051325,0.00051325,0.00051325
61,8832.67,0.68292,0.57066,0.91401,0.92997,0.89184,0.90725,0.72038,0.76359,0.60085,0.98888,0.000505,0.000505,0.000505
62,8995.49,0.68814,0.55264,0.91635,0.91592,0.90958,0.9218,0.7385,0.75464,0.5479,0.9724,0.00049675,0.00049675,0.00049675
