epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,9170.5,0.66553,0.5598,0.923,0.90719,0.89801,0.90729,0.72003,0.72901,0.59423,0.9851,0.0004885,0.0004885,0.0004885
64,9326.68,0.65757,0.54681,0.91144,0.91374,0.89481,0.90707,0.71639,0.7598,0.60092,0.98606,0.00048025,0.00048025,0.00048025
65,9470.52,0.68426,0.54741,0.91926,0.91051,0.90642,0.91394,0.71895,0.79215,0.56607,0.98963,0.000472,0.000472,0.000472
66,9614.14,0.66582,0.53249,0.91007,0.92462,0.88754,0.91684,0.73123,0.75418,0.56248,0.97701,0.00046375,0.00046375,0.00046375
67,9758.15,0.66237,0.53763,0.91649,0.9185,0.90694,0.91032,0.72618,0.72325,0.62719,0.98095,0.0004555,0.0004555,0.0004555
68,9915.36,0.68266,0.52968,0.92431,0.9042,0.90503,0.91753,0.73824,0.72255,0.553,0.97615,0.00044725,0.00044725,0.00044725
69,10061.6,0.66086,0.53154,0.90466,0.91736,0.90004,0.91823,0.72029,0.73187,0.55712,0.97586,0.000439,0.000439,0.000439
70,10209.8,0.64594,0.52782,0.90888,0.92853,0.89025,0.91522,0.7369,0.71107,0.57235,0.97148,0.00043075,0.00043075,0.00043075
71,10362.7,0.65335,0.54162,0.90596,0.91887,0.90658,0.91493,0.73856,0.72367,0.55047,0.97306,0.0004225,0.0004225,0.0004225
72,10519.4,0.69818,0.57198,0.95748,0.92004,0.90047,0.91811,0.73203,0.71663,0.56998,0.97346,0.00041425,0.00041425,0.00041425
73,10667.3,0.66189,0.51115,0.91268,0.94231,0.87602,0.91309,0.73514,0.72318,0.57461,0.97951,0.000406,0.000406,0.000406
74,10815.7,0.6545,0.51113,0.91534,0.93642,0.88905,0.91278,0.72433,0.73074,0.56901,0.98412,0.00039775,0.00039775,0.00039775
75,10962.9,0.6411,0.52148,0.90985,0.93156,0.89716,0.91728,0.73303,0.74654,0.58036,0.97349,0.0003895,0.0003895,0.0003895
76,11111.1,0.64345,0.52362,0.92057,0.93043,0.87841,0.91054,0.72116,0.78684,0.6175,0.96974,0.00038125,0.00038125,0.00038125
77,11257.2,0.63194,0.50401,0.90707,0.93231,0.88809,0.91704,0.72984,0.70096,0.57568,0.96795,0.000373,0.000373,0.000373
78,11402.5,0.64237,0.53176,0.90889,0.90588,0.89396,0.91491,0.729,0.69439,0.57191,0.97505,0.00036475,0.00036475,0.00036475
79,11547.4,0.6517,0.50935,0.91181,0.92631,0.87922,0.9142,0.72809,0.70771,0.55969,0.96824,0.0003565,0.0003565,0.0003565
80,11691.7,0.64215,0.50324,0.90509,0.94223,0.87321,0.91386,0.72286,0.706,0.59015,0.97143,0.00034825,0.00034825,0.00034825
81,11836.5,0.62229,0.48068,0.89494,0.91748,0.90333,0.91218,0.72045,0.73552,0.57245,0.98473,0.00034,0.00034,0.00034
82,11980.5,0.63052,0.47416,0.89701,0.94129,0.88836,0.91579,0.71748,0.72802,0.55469,0.99225,0.00033175,0.00033175,0.00033175
83,12124.2,0.62331,0.49488,0.89441,0.9199,0.8941,0.91231,0.72198,0.74021,0.53705,0.97968,0.0003235,0.0003235,0.0003235
84,12269.5,0.60418,0.46847,0.90318,0.91143,0.91335,0.92321,0.73114,0.70952,0.53796,0.98226,0.00031525,0.00031525,0.00031525
85,12412.2,0.59909,0.47089,0.89728,0.94075,0.89954,0.9233,0.73095,0.7135,0.5442,0.98642,0.000307,0.000307,0.000307
86,12555.6,0.61133,0.48171,0.90983,0.92037,0.90109,0.91442,0.73084,0.71211,0.58394,0.9844,0.00029875,0.00029875,0.00029875
87,12699.2,0.59695,0.47514,0.90118,0.92961,0.88187,0.9132,0.73064,0.69214,0.5589,0.97886,0.0002905,0.0002905,0.0002905
88,12843.1,0.60612,0.45233,0.90249,0.92637,0.8978,0.91024,0.72976,0.70406,0.55136,0.976,0.00028225,0.00028225,0.00028225
89,12986.4,0.60146,0.4731,0.89556,0.92153,0.89469,0.91629,0.73763,0.69365,0.52354,0.98522,0.000274,0.000274,0.000274
90,13129.8,0.59699,0.45849,0.89422,0.91513,0.90407,0.91428,0.72706,0.72439,0.54596,0.978,0.00026575,0.00026575,0.00026575
91,13273.3,0.59866,0.47101,0.88627,0.91445,0.89834,0.919,0.73379,0.6988,0.54529,0.97796,0.0002575,0.0002575,0.0002575
